id,artist_name,sc_alias
1108,Minor Science,minor-science
1109,FunkinEven,funkineven
1110,Mood II Swing Productions,No Soundcloud Found
1111,Wall Of Sound,No Soundcloud Found
1112,IO (Mulen),io-mulen
1113,Francis Inferno Orchestra,fio
1114,Lusine,lusine-official
1115,Christian LÃ¶ffler,christianloeffler
1116,XDB,xdb
1117,Pharrell,No Soundcloud Found
1118,King Midas Sound,kingmidassound
1119,Lord Of The Isles,lordoftheisles
1120,Jon Dasilva,jon-dasilva
1121,IG Culture,ig-culture
1122,Trevor Deep Jr,trevor-deep-jr
1123,Hodge,hodgebristol
1124,Mark Seven,mark_seven
1125,QX-1,perqx
1126,Ever Moving,evermoving
1127,Ozel AB,ozelab
1128,Tom Blip,blip-discs
1129,Robert Armani,djrobertarmani
1130,Funkbias,southernfriedrecords
1131,Daniel Avery,danielavery
1132,The Dangerfeel Newbies,dangerfeelnewbies
1133,Pop & Eye,No Soundcloud Found
1134,Binh,binh
1135,Secret Squirrel,secret-squirrel-7
1136,Helium Robots,No Soundcloud Found
1137,Andrew Weatherall,andrew-weatherall
1138,Bell Towers,roman-wafers
1139,Inhalants,No Soundcloud Found
1140,Azari & III,No Soundcloud Found
1141,Roland Clark,djrolandclark
1142,Dexter,dexterbritain
1143,Matthew Styles,matthewstyles
1144,Jon McMillion,jonrust
1145,Mark Ronson,markronson
1146,The Business Intl,mr-intl
1147,Shinichi Atobe,No Soundcloud Found
1148,Young Gentlemen's Adventure Society,No Soundcloud Found
1149,Parada 88,No Soundcloud Found
1150,Flight Facilities,flightfacilities
1151,Michael Mayer,michael-mayer-kompakt
1152,Maurice Donovan,No Soundcloud Found
1153,Pev,peverelist
1154,Emmanuel Jal,emmanueljal
1155,Ninetoes,ninetoes78
1156,Amir Alexander,amir-alexander
1157,Morgan Louis,m_l
1158,Mike Kay,mikekay
1159,Ajukaja,ajukaja
1160,Andrevski,jonrust
1161,It's Not Over We Hustle Harder,No Soundcloud Found
1162,Cabin Fever,No Soundcloud Found
1163,Orbital,orbital-4
1164,Girl Unit,girlunit
1165,Etienne De CrÃ©cy,etienne-de-crecy
1166,Thor,thor-records
1167,Solomun,solomun
1168,Spoiled Drama,spoiled-drama
1169,Norm Talley,No Soundcloud Found
1170,The It,x
1171,Locussolus,locussolus
1172,Cab Drivers,cabdrivers
1173,Mic Newman,mic-newman
1174,Real Dubz,enigmadubz
1175,Twin TM,twin_kidd
1176,Zendid,zendid
1177,Simoncino,simoncino
1178,The Orb,No Soundcloud Found
1179,Mirko Loko,mirko_loko
1180,AlunaGeorge,alunageorge
1181,Juan Atkins,juan-atkins
1182,Moritz Von Oswald,No Soundcloud Found
1183,Reagenz,No Soundcloud Found
1184,DJ Sonikku,djsonikku
1185,Ebo Taylor,No Soundcloud Found
1186,Pat Thomas,No Soundcloud Found
1187,Henrik Schwarz,henrikschwarz
1188,Albert Schwartz,aschwartz
1189,Ramadanman,ramadanman
1190,Golden Teacher,goldenteacher
1191,Vitalic,vitalicofficial
1192,O. Xander,o-xander
1193,John F.M.,johnf-m
1194,Les Sins,No Soundcloud Found
1195,Paul Simon,paulsimon
1196,Global Communication,No Soundcloud Found
1197,Dionne,dionnereid
1198,Mono Junk,mono-junk
1199,Housefactors,x
1200,Alvin Aronson,alvin-aronson
1201,Ã‚me,ame
1202,Rudoulpho,x
1203,Tazz,tazz
1204,LB Lynam,No Soundcloud Found
1205,Trevor Deep Jr.,trevor-deep-jr
1206,J. Albert,jiovanni-nadal
